titleId,originalTitle,releaseYear,mainCountry,firstLanguage,genres,imdbRating,numberOfVotes,arthouse_score
tt1723793,Gabriel,2011.0,HR,hr,"Documentary, Biography, History, Romance",8.1,20.0,4
tt2960530,Kim,2015.0,SE,sv,Drama,7.0,22.0,4
tt8539876,Faraway Land,2018.0,ES,en,Documentary,7.8,13.0,4
tt4088268,Flaskepost fra P,2016.0,DK,da,"Crime, Drama, Mystery, Thriller",7.0,23117.0,5
tt3809010,Au bord du monde,2013.0,FR,fr,"Documentary, News",7.7,124.0,6
tt15942380,Digital Asylum,2022.0,BG,bg,"Drama, Thriller",7.2,8.0,3
tt9879682,Chef's Diaries: Scotland,2019.0,GB,ca,Documentary,7.7,22.0,5
tt3432304,Schwarzkopf BRD: Martin Luther King in Berlin!,2014.0,DE,de,"Documentary, Drama, History, News",7.8,7.0,5
tt15048868,"Liverpool Català: boira, sants & rock'n'roll",2021.0,ES,es,Documentary,8.2,9.0,3
tt21622742,Mariupol: Unlost Hope,2022.0,UA,uk,"Documentary, History, War",7.9,204.0,6
tt0037299,Sophienlund,1943.0,DE,de,Comedy,7.6,26.0,4
tt0056846,La baie des anges,1963.0,FR,fr,"Drama, Romance",7.2,4355.0,10
tt1872225,Water Makes Money,2010.0,DE,fr,"Documentary, News",7.8,47.0,6
tt0074123,L'alpagueur,1976.0,FR,fr,"Action, Crime, Thriller",6.5,2571.0,9
tt0120527,"Wittstock, Wittstock",1997.0,DE,de,Documentary,7.9,33.0,5
tt0013880,Bonnie Prince Charlie,1923.0,GB,zxx,"Biography, Drama, History",7.0,8.0,2
tt22778746,A Way to B,2022.0,NL,,Documentary,7.5,11.0,4
tt4503920,Prison System 4614,2015.0,DE,de,"Documentary, Biography",7.0,21.0,4
tt0410420,Paradise now - Journal d'une femme en crise,2004.0,FR,ar,Documentary,8.2,11.0,3
tt5354986,Dubina dva,2016.0,RS,sr,"Documentary, Drama, History, Thriller, War",7.7,195.0,6
tt6512898,Armastus,2017.0,EE,et,Documentary,7.1,27.0,3
tt0183595,The Old Place,2000.0,FR,fr,Documentary,7.1,238.0,6
tt0067889,Twarz aniola,1971.0,PL,pl,"Drama, War",7.0,23.0,5
tt2055586,Almost Married,2011.0,IT,it,"Documentary, Comedy, Drama, Romance",8.3,8.0,4
tt0104220,Face of Our Fear,1992.0,GB,en,"Documentary, Crime, Drama",7.6,14.0,4
tt6562252,Suicide Service,2017.0,NO,no,Drama,7.5,52.0,8
tt0483206,Il vento fa il suo giro,2005.0,IT,it,Drama,7.4,781.0,7
tt1655446,The Miners' Hymns,2010.0,GB,en,"Documentary, Drama",7.3,120.0,7
tt5613914,Dazed in Doon,2010.0,GB,hi,Drama,7.9,22.0,5
tt12887784,Chef Antonio's Recipes for Revolution,2021.0,IT,it,Documentary,7.6,19.0,4
tt8070038,Adam's Passion,2015.0,EE,ru,Music,7.4,14.0,4
tt4072418,Respectable: The Mary Millington Story,2016.0,GB,en,"Documentary, Biography",6.8,432.0,7
tt4110078,Non so perché ti odio,2014.0,IT,it,Documentary,7.4,14.0,3
tt2007453,Sailor,2010.0,PL,pl,,7.6,26.0,4
tt1605717,Frank,2014.0,IE,en,"Comedy, Drama, Music",6.9,83096.0,8
tt1334329,Rumore bianco,2008.0,IT,it,Documentary,7.2,19.0,3
tt0255192,La Gioconda está triste,1977.0,ES,es,"Drama, Fantasy",7.4,53.0,6
tt2869006,East Punk Memories,2012.0,FR,en,"Documentary, History, Music, War",7.6,61.0,7
tt3508720,The Big Melt: How Steel Made Us Hard,2013.0,GB,en,Documentary,7.0,31.0,6
tt3638598,Ciutat morta,2014.0,ES,ca,Documentary,7.6,380.0,6
tt0289494,Sto ypsos tis haramadas,1992.0,GR,el,,7.8,7.0,4
