titleId,tmdb_id,budget,revenue,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,original_language,tagline,status,spoken_languages,production_countries
tt0077733,,,,,,,,,,,
tt1305621,,,,,,,,,,,
tt0406650,13919.0,6800000.0,351401.0,1.3772,6.473,207.0,en,Meet Generation Rx.,Released,English,"US, DE"
tt2056694,140120.0,0.0,0.0,1.591,7.0,1.0,en,,Released,,GB
tt0070959,91487.0,0.0,8000000.0,0.9652,7.238,105.0,fr,Any resemblance to actual events or to anyone living or dead is not accidental.,Released,"German, English, Spanish, French","FR, DE, IT"
tt0433383,3291.0,7000000.0,54600000.0,1.5966,7.074,1085.0,en,We will not walk in fear of one another.,Released,English,"FR, JP, GB, US"
tt0116648,219835.0,0.0,0.0,0.4956,4.286,7.0,en,,Released,English,
tt0057811,15925.0,0.0,0.0,2.252,6.114,70.0,en,The greatest adventure since men fought on earth - or flew over it!,Released,English,"GB, US"
tt1191111,34647.0,13000000.0,754249.0,2.2706,7.3,1949.0,en,,Released,"English, Japanese","FR, DE, IT"
tt9648672,644712.0,9204790.0,12589965.0,1.0028,6.7,44.0,hi,,Released,Hindi,IN
tt1320244,38358.0,1800000.0,69400000.0,1.8565,5.697,1098.0,en,Believe In Him.,Released,"Latin, English","US, FR"
tt0049646,24580.0,0.0,0.0,1.0724,6.5,221.0,en,You Can't Escape It!,Released,English,GB
tt0386504,9830.0,0.0,0.0,3.0628,5.2,102.0,en,Can love survive the fall of paradise?,Released,English,"DE, ES, GB, US"
tt3103632,323653.0,0.0,0.0,1.7871,5.9,10.0,de,,Released,German,"AT, DE"
tt1441083,128142.0,0.0,75544.0,0.2832,6.7,17.0,nl,,Released,"Dutch, English, French","NL, GB"
tt3111626,316310.0,0.0,0.0,0.1293,1.0,2.0,en,,Released,"English, Serbian","NL, RS, BE"
tt6811018,454294.0,59000000.0,32140970.0,2.5424,6.201,820.0,en,An army to fight. A demon to slay. A world to save. No pressure.,Released,English,GB
tt4005402,318781.0,14000000.0,3621046.0,2.8697,7.256,1972.0,de,There is no turning back,Released,"English, Spanish","DE, LU, GB, FR"
tt0082924,11333.0,0.0,0.0,1.5928,6.455,352.0,it,Dave Speed is saving the world from crime... but who is saving the world from Dave Speed?,Released,English,"ES, IT, US"
tt0368794,3902.0,20000000.0,4001121.0,2.4213,6.502,760.0,en,"All I can do is be me, whoever that is.",Released,English,"DE, US"
tt0069343,26504.0,0.0,0.0,0.639,6.097,93.0,it,With needles dipped in deadly venom the victims are paralyzed - so they must lie awake and watch themselves die!,Released,Italian,"FR, IT"
tt4273292,375012.0,0.0,0.0,1.8161,6.48,716.0,fa,Fear will find you.,Released,Persian,"JO, GB"
tt0385752,2268.0,180000000.0,372234864.0,4.2941,6.08,4776.0,en,There are worlds beyond our own. The compass will show the way.,Released,"Icelandic, English, Russian, French","GB, US"
tt0022100,832.0,0.0,35274.0,2.3078,8.1,2427.0,de,Who is the murderer?,Released,German,DE
tt4702346,497658.0,0.0,0.0,0.3077,6.4,24.0,en,,Released,English,GB
tt2620290,203922.0,0.0,0.0,0.0441,6.5,10.0,en,,Released,English,GB
tt0462504,9952.0,10000000.0,7177143.0,3.1238,6.953,1383.0,en,A true story of survival... declassified.,Released,English,"LU, US"
tt0060794,28049.0,50000.0,0.0,1.524,6.952,258.0,it,Makes you shiver & shake!,Released,Italian,IT
tt0069729,29039.0,0.0,0.0,2.4626,5.298,47.0,en,See wild women fight to the death!,Released,English,"IT, US"
tt0400426,7916.0,30000000.0,743.0,1.5588,3.695,321.0,en,,Released,English,"CA, DE"
tt1865505,110416.0,0.0,857522.0,2.7426,7.999,1552.0,en,Let the song of the sea sway your heart...,Released,"Irish, French, Galician, English","IE, LU, BE, DK"
tt0306892,5494.0,32000000.0,0.0,1.4558,5.5,98.0,en,,Released,English,"DE, GB, US, LU"
tt0049429,28061.0,0.0,0.0,0.5985,6.3,80.0,it,The mad scientist who killed for fun! Beautiful girls were victims of his evil mind!,Released,Italian,IT
tt0098596,41936.0,0.0,0.0,0.3376,7.2,87.0,fr,,Released,French,FR
tt1186367,22832.0,40000000.0,61601280.0,8.9342,6.671,1724.0,en,"Fear not the weapon, but the hand that wields it.",Released,English,"US, FR, DE"
tt8983230,999127.0,0.0,0.0,1.0059,5.8,60.0,pl,,Released,Polish,PL
tt0100260,20481.0,11000000.0,8862354.0,3.3611,6.369,519.0,en,A new reason to fear the night.,Released,English,US
tt1521848,51447.0,0.0,1611000.0,2.2494,6.1,381.0,fr,The trophy is coming off the shelf.,Released,French,FR
tt3606698,314285.0,0.0,2080529.0,0.7459,6.373,71.0,da,,Released,Danish,"DK, DE"
tt1734493,291276.0,0.0,0.0,3.4347,6.261,1185.0,en,The truth has many enemies.,Released,"Arabic, English, German","GB, CZ, US, CH"
tt14993352,884184.0,0.0,1504289.0,2.9588,5.601,174.0,en,Blessed be the curse.,Released,English,"GB, US"
tt9718974,621477.0,1000000.0,0.0,0.1922,9.0,3.0,en,War is not the solution,Released,"Arabic, English, Italian",GB
tt0085767,42111.0,0.0,0.0,0.291,5.9,12.0,hu,,Released,Hungarian,HU
tt0132910,9456.0,10000000.0,0.0,2.557,5.466,399.0,en,For vengeance. For justice. For love.,Released,English,"DE, US"
tt0069920,31624.0,0.0,0.0,0.7346,6.594,213.0,it,Enter... if you dare the bizarre world of the psychosexual mind.,Released,Italian,IT
tt1770734,84336.0,6300000.0,1777709.0,1.289,5.938,276.0,en,,Released,English,"FR, IE, GB"
tt0371853,42968.0,0.0,0.0,3.1218,5.633,266.0,es,Pray for mercy,Released,"English, Spanish, Catalan",ES
tt2092011,128248.0,0.0,0.0,0.4747,5.715,79.0,en,,Released,"Irish, English",IE
tt0052964,79755.0,0.0,0.0,1.1299,6.4,26.0,fr,Men couldn't resist her... not even an Emperor!,Released,"German, French",FR
tt1182343,,,,,,,,,,,
tt9206798,558095.0,0.0,3019143.0,1.3914,6.032,141.0,en,The final act of the world's greatest playwright,Released,English,GB
tt1247640,15357.0,15000000.0,14103752.0,2.9283,6.383,1244.0,fr,,Released,French,FR
tt0352520,10609.0,0.0,0.0,1.4225,6.6,191.0,en,Never judge a man by his cover.,Released,English,"GB, US"
tt1638353,128158.0,0.0,148671.0,1.011,7.035,113.0,fr,She achieved her independence by telling stories filled with forbidden secrets,Released,Persian,"DE, FR, AF"
tt0365686,10851.0,27000000.0,7164778.0,2.8599,6.346,1499.0,en,Your mind will not accept a game this big.,Released,English,"FR, GB"
tt6157850,,,,,,,,,,,
tt4180574,,,,,,,,,,,
tt1859446,81857.0,97000.0,15292.0,1.262,6.249,341.0,el,When the end is here the Alps are near.,Released,"Greek, English","CA, FR, GR, US"
tt2159988,485617.0,0.0,0.0,0.1109,7.3,7.0,en,,Released,"English, French",
tt4615046,,,,,,,,,,,
tt0060314,315566.0,0.0,0.0,0.2755,6.3,3.0,en,,Released,English,GB
tt5083738,375262.0,15000000.0,95918706.0,7.3443,7.493,5845.0,en,,Released,English,"IE, GB, US"
tt0085811,849.0,27000000.0,16916617.0,4.7267,6.046,604.0,en,A world light-years beyond your imagination.,Released,English,"ES, GB, IT, US"
tt0808185,13318.0,0.0,0.0,1.0332,7.049,265.0,no,,Released,Norwegian,"IS, NO"
tt0280870,2165.0,11000000.0,595214.0,1.0571,5.396,159.0,en,In the game of life and death... you only lose once.,Released,English,"CA, DE, US"
tt0454824,9664.0,60000000.0,17858059.0,2.4369,6.538,839.0,en,"When the world first went to war, they were the first to fly.",Released,"English, French","GB, US"
tt0070297,26480.0,0.0,0.0,1.6804,5.852,142.0,en,Hammer Horror! Dragon Thrills! The First Kung Fu Horror Spectacular!,Released,"Mandarin, English","HK, GB"
tt18257512,,,,,,,,,,,
tt0856288,13312.0,3000000.0,792184.0,1.4901,6.735,905.0,fr,Terror comes calling.,Released,French,FR
tt0064072,11463.0,12000000.0,0.0,2.1677,6.86,339.0,en,Never was so much owed by so many to so few.,Released,"German, French, Polish, English",GB
tt5227746,518502.0,2038607.0,0.0,0.9638,5.675,186.0,sv,We never thought it would happen to us.,Released,Swedish,SE
tt0089092,11864.0,40000000.0,12300000.0,2.7593,6.947,1044.0,en,Enemies because they were taught to be. Allies because they had to be. Brothers because they dared to be.,Released,English,US
tt0280707,5279.0,19800000.0,87754044.0,3.2136,6.8,1214.0,en,Tea at four. Dinner at eight. Murder at midnight.,Released,English,"IT, US"
tt6495708,,,,,,,,,,,
